#,Name,Age,Nationality,Overall,Potential,Club,Value,Wage,Preferred Foot,Skill Moves,Position,Height,Weight,Release Clause
1323,A. Lallana,34,England,75,75,Brighton & Hove Albion,2600000,53000,Right,4,SUB,178,73,4900000
1324,E. Vecchio,33,Argentina,75,75,Racing Club,3500000,18000,Right,3,LCM,178,80,5300000
1325,L. Bittencourt,28,Germany,75,75,SV Werder Bremen,5500000,24000,Right,3,RCM,170,62,9900000
1326,Cédric,30,Portugal,75,75,Arsenal,4800000,58000,Right,3,SUB,172,67,9100000
1327,J. Ayew,30,Ghana,75,75,Crystal Palace,5500000,50000,Right,4,SUB,182,81,10500000
1328,A. Taarabt,33,Morocco,75,75,SL Benfica,3500000,13000,Right,4,RES,181,77,7000000
1329,M. Albrighton,32,England,75,75,Leicester City,4500000,63000,Right,3,RM,175,74,8600000
1330,R. Gauld,26,Scotland,75,76,Vancouver Whitecaps FC,6500000,9000,Left,4,LCM,169,62,10200000
1331,G. Kamara,26,Finland,75,78,Rangers FC,7500000,46000,Right,3,CAM,183,73,14100000
1332,Montoya,31,Spain,75,75,Real Betis Balompié,4100000,20000,Right,3,SUB,175,73,8600000
1333,M. Aebischer,25,Switzerland,75,78,Bologna,7500000,28000,Right,3,LCM,183,74,13300000
1334,Pol Lirola,24,Spain,75,80,Olympique de Marseille,8000000,26000,Right,3,SUB,183,70,15800000
1335,D. Turnbull,22,Scotland,75,82,Celtic,11500000,40000,Right,3,LCM,185,75,23000000
1336,André Gomes,28,Portugal,75,75,Everton,5500000,37000,Right,4,RES,188,84,10500000
1337,E. Atuesta,25,Colombia,75,82,,0,0,Right,3,,180,71,
1338,Lekue,29,Spain,75,75,Athletic Club de Bilbao,4900000,23000,Right,3,SUB,180,70,10300000
1339,Lincoln,23,Brazil,75,84,Fenerbahçe SK,12500000,46000,Left,4,SUB,178,73,26300000
1340,B. Mbeumo,22,Cameroon,75,81,Brentford,9000000,40000,Left,4,RW,171,75,18900000
1341,D. Mihailovic,23,United States,75,81,Club de Foot Montréal,9000000,9000,Right,4,LF,178,69,14900000
1342,Edu Expósito,25,Spain,75,78,RCD Espanyol de Barcelona,7500000,17000,Right,3,SUB,178,68,16300000
1343,D. Martínez,24,Paraguay,75,78,River Plate,7000000,13000,Left,2,RCB,182,76,10300000
1344,T. Foket,27,Belgium,75,76,Stade de Reims,6000000,20000,Right,3,RWB,177,67,12500000
1345,A. Masuaku,28,Congo DR,75,75,Beşiktaş JK,5000000,52000,Left,4,LB,179,70,
1346,A. Sambi Lokonga,22,Belgium,75,83,Arsenal,12500000,55000,Right,3,SUB,183,73,26300000
1347,A. Maitland-Niles,24,England,75,77,Arsenal,6500000,49000,Right,4,RES,177,71,12800000
1348,Y. Chará,31,Colombia,75,75,Portland Timbers,4700000,9000,Right,4,CAM,165,68,7100000
1349,J. Larsen,31,Denmark,75,75,Trabzonspor,4100000,29000,Right,3,RB,180,82,7800000
1350,J. Clasie,31,Netherlands,75,75,AZ Alkmaar,4600000,11000,Right,3,CDM,170,68,6900000
1351,S. Meïté,28,France,75,75,SL Benfica,5500000,14000,Right,3,RES,189,84,11000000
1352,S. March,27,England,75,75,Brighton & Hove Albion,5500000,49000,Left,3,RM,180,77,10500000
1353,L. Refaelov,36,Israel,75,75,RSC Anderlecht,1800000,16000,Right,4,LM,175,70,2700000
1354,Nico González,20,Spain,75,85,FC Barcelona,12500000,72000,Right,4,RES,188,86,28100000
1355,J. Gbamin,26,Côte d'Ivoire,75,75,Everton,5500000,33000,Right,3,RES,186,83,10500000
1356,M. Viña,24,Uruguay,75,78,Roma,7000000,39000,Left,2,SUB,181,70,12400000
1357,T. Hamed,33,Egypt,75,75,Al Ittihad,2800000,32000,Right,2,RCM,169,67,4800000
1358,S. Kolašinac,29,Bosnia and Herzegovina,75,75,Olympique de Marseille,4900000,32000,Left,2,SUB,183,85,9300000
1359,Embarba,30,Spain,75,75,RCD Espanyol de Barcelona,5500000,18000,Right,4,RM,173,68,11600000
1360,R. Sessegnon,22,England,75,83,Tottenham Hotspur,12000000,53000,Left,4,LWB,178,70,25200000
1361,S. Giménez,21,Mexico,75,84,Feyenoord,12500000,9000,Left,2,SUB,182,69,21300000
1362,J. Cullen,26,Republic of Ireland,75,78,Burnley,6500000,36000,Right,3,LCM,175,70,12800000
1363,M. Gibbs-White,22,England,75,83,Wolverhampton Wanderers,12500000,55000,Right,4,CAM,178,70,26300000
1364,João Mário,22,Portugal,75,84,FC Porto,12000000,10000,Right,3,RB,179,66,26400000
1365,J. Maclaren,28,Australia,75,75,Melbourne City FC,6000000,15000,Right,3,ST,179,76,7500000
1366,T. Cairney,31,Scotland,75,75,Fulham,4600000,49000,Left,3,SUB,186,84,8700000
1367,J. McArthur,34,Scotland,75,75,Crystal Palace,1900000,42000,Right,3,SUB,178,66,3600000
1368,G. Hauche,35,Argentina,75,75,Racing Club,2300000,15000,Right,4,RW,168,71,3500000
1369,A. Velasco,19,Argentina,75,85,FC Dallas,12000000,5000,Right,4,LM,167,63,20400000
1370,Pep Biel,25,Spain,75,77,F.C. København,7000000,21000,Left,3,ST,167,64,9600000
1371,P. Diop,36,Senegal,75,75,UD Ibiza,1100000,6000,Right,3,RDM,179,77,1700000
1372,S. Berge,24,Norway,75,81,Sheffield United,8000000,22000,Right,3,CDM,195,96,16800000
1373,D. Foulquier,29,France,75,75,Valencia CF,4900000,29000,Right,3,SUB,183,78,10300000
1374,F. Centonze,26,France,75,78,FC Metz,7000000,8000,Right,2,RES,182,75,13100000
1375,R. Vargas,23,Switzerland,75,81,FC Augsburg,9000000,22000,Right,4,SUB,179,68,18000000
1376,H. Reed,27,England,75,77,Fulham,6000000,44000,Right,3,RDM,175,72,11900000
1377,Luiz Gustavo,34,Brazil,75,75,Al Nassr,1900000,32000,Left,3,RCM,187,78,3200000
1378,F. Sotoca,31,France,75,75,Racing Club de Lens,4800000,31000,Right,3,RS,187,77,9100000
1379,F. Farías,19,Argentina,75,85,Club Atlético Colón,12000000,9000,Right,4,LM,171,69,20400000
1380,J. Wallace,28,England,75,75,West Bromwich Albion,5500000,34000,Right,4,RM,178,70,10500000
1381,Junior Firpo,25,Spain,75,78,Leeds United,7000000,31000,Left,3,LB,184,78,13800000
1382,T. Davies,24,England,75,78,Everton,7500000,31000,Right,3,SUB,180,70,14800000
1383,W. Khazri,31,Tunisia,75,75,Montpellier Hérault SC,4800000,24000,Right,4,SUB,176,82,9100000
1384,Aguado,26,Spain,75,78,Real Valladolid CF,7500000,22000,Right,3,LCM,175,71,17100000
1385,José Callejón,35,Spain,75,75,Granada CF,2300000,10000,Right,3,SUB,178,73,3700000
1386,M. Eggestein,25,Germany,75,76,Sport-Club Freiburg,6000000,22000,Right,3,RDM,181,75,10700000
1387,T. Minamino,27,Japan,75,76,AS Monaco,6500000,45000,Right,3,SUB,174,67,12800000
1388,B. Petković,27,Croatia,75,76,Dinamo Zagreb,6500000,1000,Right,4,ST,193,88,14800000
1389,Kévin Rodrigues,28,Portugal,75,75,Adana Demirspor,5000000,20000,Left,3,LB,170,70,10000000
1390,F. Borini,31,Italy,75,75,Fatih Karagümrük S.K.,4700000,26000,Right,3,RW,180,73,9400000
1391,D. Bouanga,27,Gabon,75,75,Los Angeles FC,6000000,9000,Right,4,SUB,180,71,9000000
1392,O. Mangala,24,Belgium,75,80,Nottingham Forest,8500000,45000,Right,3,SUB,178,80,17600000
1393,P. Schuurs,22,Netherlands,75,82,Ajax,10500000,12000,Right,2,SUB,191,79,16800000
1394,V. Claesson,30,Sweden,75,75,F.C. København,5500000,22000,Right,3,LM,183,79,7200000
1395,V. Wanyama,31,Kenya,75,75,Club de Foot Montréal,3900000,8000,Right,2,LCM,188,79,5700000
1396,Hwang Ui Jo,29,Korea Republic,75,75,FC Girondins de Bordeaux,5500000,10000,Right,3,SUB,185,82,9900000
1397,R. Rojas,26,Paraguay,75,76,River Plate,6000000,15000,Right,2,SUB,176,75,8900000
1398,L. Godoy,27,Argentina,75,76,Estudiantes de La Plata,6000000,12000,Right,3,RB,173,70,9500000
1399,Salva Sevilla,38,Spain,75,75,Deportivo Alavés,1100000,8000,Right,3,CDM,178,71,1800000
1400,Wilson Manafá,27,Portugal,75,75,FC Porto,5500000,12000,Right,3,SUB,175,72,11000000
1401,J. Boëtius,28,Netherlands,75,75,Hertha BSC,5500000,29000,Right,4,SUB,179,73,9400000
1402,J. King,30,Norway,75,75,Fenerbahçe SK,5500000,58000,Right,4,SUB,184,82,10500000
1403,O. Kukoč,22,England,75,82,AFC Richmond,11500000,37000,Right,3,SUB,174,61,24200000
1404,Dani García,32,Spain,75,75,Athletic Club de Bilbao,4400000,24000,Right,3,SUB,180,81,9200000
1405,A. Ekdal,32,Sweden,75,75,Spezia,4400000,18000,Right,3,LCM,186,82,7900000
1406,V. Aboubakar,30,Cameroon,75,75,Al Nassr,5500000,38000,Right,4,ST,184,82,9400000
1407,R. Žulj,30,Austria,75,75,LASK Linz,5500000,26000,Right,3,CAM,189,89,8300000
1408,M. Wöber,24,Austria,75,80,FC Red Bull Salzburg,7500000,20000,Left,2,LCB,189,82,11800000
1409,Aihen Muñoz,24,Spain,75,81,Real Sociedad,8500000,22000,Left,3,SUB,175,68,19600000
1410,D. Díaz,36,Ecuador,75,75,Barcelona Sporting Club,1800000,950,Right,4,CAM,174,67,4000000
1411,A. Truffert,20,France,75,84,Stade Rennais FC,12000000,25000,Left,2,SUB,173,63,25200000
1412,I. Balliu,30,Albania,75,75,Rayo Vallecano,4800000,18000,Right,3,RB,174,65,10100000
1413,P. Stojanović,26,Slovenia,75,78,Empoli,7000000,11000,Right,3,RB,178,72,13100000
1414,A. Yarmolenko,32,Ukraine,75,75,Al Ain FC,4500000,1000,Left,4,RM,189,76,9900000
1415,Cucho Hernández,23,Colombia,75,80,Columbus Crew,8500000,9000,Right,3,ST,176,73,13400000
1416,W. Hughes,27,England,75,76,Crystal Palace,6500000,46000,Left,4,SUB,185,74,12800000
1417,J. Gouweleeuw,30,Netherlands,75,75,FC Augsburg,4600000,23000,Right,2,RES,188,83,8300000
1418,J. Guilavogui,31,France,75,75,VfL Wolfsburg,3900000,35000,Right,2,SUB,188,77,6600000
1419,I. Sissoko,24,France,75,79,RC Strasbourg Alsace,8000000,21000,Right,3,SUB,193,90,15800000
1420,B. Schmitz,27,Germany,75,75,1. FC Köln,5500000,23000,Right,2,RB,182,75,9900000
1421,Balenziaga,34,Spain,75,75,Athletic Club de Bilbao,2100000,22000,Left,3,SUB,177,77,4400000
1422,Cesinha,32,Brazil,75,75,Daegu FC,4500000,10000,Right,5,LW,177,74,5600000
1423,G. Pezzella,24,Italy,75,77,Parma,6500000,5000,Left,3,SUB,187,81,10900000
1424,S. Verdi,29,Italy,75,75,Torino F.C.,5500000,42000,Left,4,RF,174,72,9900000
1425,Moncayola,24,Spain,75,81,CA Osasuna,9000000,22000,Right,3,RCM,189,86,20700000
1426,R. Fredericks,29,England,75,75,AFC Bournemouth,4900000,40000,Right,3,SUB,181,74,9800000
1427,C. Chambers,27,England,75,76,Aston Villa,5500000,58000,Right,2,SUB,182,77,10900000
1428,L. Janson,27,Argentina,75,75,Vélez Sarsfield,6000000,16000,Right,4,LW,171,67,9000000
1429,Akapo,29,Equatorial Guinea,75,75,San Jose Earthquakes,4900000,9000,Right,2,LB,179,70,7100000
1430,I. Slimani,34,Algeria,75,75,Sporting CP,2700000,14000,Right,2,SUB,188,83,5400000
1431,Carlos Júnior,26,Brazil,75,75,Al Shabab,6000000,34000,Right,3,RW,176,75,10200000
1432,M. Pjaca,27,Croatia,75,76,Juventus,6500000,81000,Right,3,SUB,186,83,11500000
1433,K. Adeyemi,20,Germany,75,87,Borussia Dortmund,13500000,31000,Left,4,RM,177,75,25700000
1434,Gonçalo Ramos,21,Portugal,75,85,SL Benfica,12500000,11000,Right,2,ST,185,82,27500000
1435,K. Wagner,25,Germany,75,79,Philadelphia Union,7000000,8000,Left,2,LB,182,78,11000000
1436,J. Lindstrøm,22,Denmark,75,84,Eintracht Frankfurt,12500000,22000,Right,3,SUB,182,66,23800000
1437,Aarón,25,Spain,75,78,1. FSV Mainz 05,7000000,22000,Left,3,LWB,178,70,12400000
1438,Iván Alejo,27,Spain,75,75,Cádiz CF,6000000,27000,Right,4,RM,184,76,12600000
1439,M. Bakker,22,Netherlands,75,81,Bayer 04 Leverkusen,8500000,33000,Left,2,SUB,185,85,16200000
1440,S. Birindelli,22,Italy,75,83,AC Monza,12000000,33000,Right,3,RM,175,70,24000000
1441,N. Okafor,22,Switzerland,75,83,FC Red Bull Salzburg,12500000,25000,Right,4,LS,185,85,21300000
1442,J. Cabot,28,France,75,75,Racing Club de Lens,5500000,30000,Right,3,SUB,164,64,10500000
1443,L. Tousart,25,France,75,80,Hertha BSC,7500000,24000,Right,2,SUB,185,83,13300000
1444,Iborra,34,Spain,75,75,Levante Unión Deportiva,1900000,26000,Right,3,CDM,190,80,
1445,C. Cueva,30,Peru,75,75,Al Fateh,5500000,30000,Right,3,LW,168,61,9100000
1446,M. Gusto,19,France,75,85,Olympique Lyonnais,11500000,24000,Right,3,RB,179,74,24200000
1447,M. Bard,21,France,75,82,OGC Nice,11000000,24000,Left,3,LB,173,65,23100000
1448,T. Gutiérrez,37,Colombia,75,75,Deportivo Cali,1900000,4000,Right,4,CAM,180,87,2600000
1449,F. Đuričić,30,Serbia,75,75,U.C. Sampdoria,5500000,19000,Right,4,SUB,176,69,9900000
1450,Rubén Pérez,33,Spain,75,75,Panathinaikos FC,2800000,850,Right,2,LCM,178,72,6200000
1451,Patric,29,Spain,75,76,Lazio,5000000,38000,Right,2,SUB,184,72,8900000
1452,A. Elis,26,Honduras,75,78,FC Girondins de Bordeaux,7500000,10000,Right,4,SUB,183,77,14100000
1453,Santi Comesaña,25,Spain,75,81,Rayo Vallecano,8000000,17000,Right,3,RDM,184,75,18400000
1454,D. Verde,26,Italy,75,76,Spezia,6500000,19000,Left,4,RM,168,64,12200000
1455,Silas,23,Congo DR,75,82,VfB Stuttgart,11500000,20000,Right,5,RM,189,82,23000000
1456,S. Rahimi,26,Morocco,75,76,Al Ain FC,6500000,1000,Right,4,LM,181,76,14800000
1457,M. Sarr,23,France,75,79,Chelsea,7000000,61000,Left,2,SUB,182,75,13500000
1458,Samu Castillejo,27,Spain,75,75,Valencia CF,6000000,30000,Left,4,RM,182,67,12600000
1459,A. Caci,25,France,75,80,1. FSV Mainz 05,7500000,22000,Right,3,SUB,185,76,13300000
1460,Toni Villa,27,Spain,75,75,Real Valladolid CF,6000000,22000,Right,4,LM,173,63,13200000
1461,T. Bongonda,26,Congo DR,75,75,KRC Genk,6000000,18000,Left,4,SUB,177,73,9000000
1462,B. Brereton Díaz,23,Chile,75,82,Blackburn Rovers,11500000,38000,Right,3,LM,188,75,24200000
1463,C. Roberts,26,Wales,75,78,Burnley,7000000,36000,Right,3,RWB,175,76,13800000
1464,F. Pizzini,28,Argentina,75,75,Club Atlético Talleres,5500000,16000,Right,4,SUB,178,75,8300000
1465,Fran García,22,Spain,75,83,Rayo Vallecano,12000000,15000,Left,3,LB,167,69,27600000
1466,A. El Ghazi,27,Netherlands,75,75,Aston Villa,6000000,63000,Right,4,RES,188,90,11400000
1467,A. Hickey,20,Scotland,75,85,Brentford,12000000,28000,Right,2,SUB,175,72,25200000
1468,L. Ayling,30,England,75,75,Leeds United,4800000,33000,Right,3,SUB,185,72,9100000
1469,D. Welbeck,31,England,75,75,Brighton & Hove Albion,4800000,58000,Right,3,ST,185,73,9100000
1470,S. Araujo,30,Argentina,75,75,AEK Athens,5500000,1000,Right,3,ST,180,76,12100000
1471,E. Hysaj,28,Albania,75,75,Lazio,5000000,38000,Right,3,SUB,182,70,8500000
1472,R. Quioto,30,Honduras,75,75,Club de Foot Montréal,5500000,10000,Right,3,ST,178,69,8000000
1473,D. Muñoz,26,Colombia,75,76,KRC Genk,6000000,15000,Right,2,RB,181,73,9500000
1474,T. Livramento,19,England,75,85,Southampton,11500000,22000,Right,2,SUB,181,71,24200000
1475,Paulinho,21,Brazil,75,81,Bayer 04 Leverkusen,9000000,31000,Right,4,SUB,177,77,17100000
1476,T. Bakayoko,27,France,75,76,AC Milan,6000000,71000,Right,3,SUB,189,85,
1477,R. Henry,24,England,75,78,Brentford,7000000,33000,Left,3,LB,170,66,13800000
1478,M. Holgate,25,England,75,78,Everton,6500000,31000,Right,3,RCB,184,75,12800000
1479,M. Ducksch,28,Germany,75,75,SV Werder Bremen,6000000,26000,Right,3,LS,188,79,10800000
1480,J. Sornoza,28,Ecuador,75,75,Independiente del Valle,5500000,1000,Right,3,LF,179,65,12100000
1481,J. Lucero,30,Argentina,75,75,Colo-Colo,5500000,9000,Right,2,ST,182,75,7700000
1482,L. Waldschmidt,26,Germany,75,78,VfL Wolfsburg,7500000,42000,Left,3,RES,181,74,13300000
1483,L. Openda,22,Belgium,75,83,Racing Club de Lens,12500000,28000,Right,3,LS,174,78,26300000
1484,T. Lorch,28,South Africa,75,75,Orlando Pirates,5500000,1000,Right,3,RM,166,60,12100000
1485,A. Sanabria,26,Paraguay,75,78,Torino F.C.,7500000,41000,Right,4,ST,181,73,14100000
1486,L. Thomas,21,England,75,80,Leicester City,8000000,41000,Left,2,SUB,177,68,15800000
1487,M. Gregoritsch,28,Austria,75,75,Sport-Club Freiburg,6000000,29000,Left,4,ST,193,91,10200000
1488,J. Rodríguez,26,Argentina,75,78,Estudiantes de La Plata,6500000,12000,Right,2,CDM,179,77,10200000
1489,Lucas Torró,27,Spain,75,76,CA Osasuna,6000000,23000,Right,2,CDM,190,77,13100000
1490,T. Pukki,32,Finland,75,75,Norwich City,4600000,43000,Right,3,RS,180,80,8700000
1491,Nacho Vidal,27,Spain,75,76,CA Osasuna,6000000,23000,Right,3,RB,180,75,13100000
1492,M. Dabbur,30,Israel,75,75,TSG Hoffenheim,5500000,33000,Right,4,SUB,183,78,9400000
1493,N. Höfler,32,Germany,75,75,Sport-Club Freiburg,3700000,23000,Right,2,LDM,181,79,6300000
1494,N. Stark,27,Germany,75,77,SV Werder Bremen,6000000,21000,Right,2,SUB,190,88,11300000
1495,M. Nakamba,28,Zimbabwe,75,76,Aston Villa,5500000,60000,Left,3,SUB,178,71,10900000
1496,E. Shomurodov,27,Uzbekistan,75,76,Roma,6500000,54000,Right,3,SUB,190,76,11500000
1497,G. Nkoudou,27,France,75,75,Beşiktaş JK,6000000,43000,Right,3,SUB,172,75,12000000
1498,E. Le Fée,22,France,75,82,FC Lorient,11500000,16000,Right,4,CM,170,58,25300000
1499,A. Knauff,20,Germany,75,83,Eintracht Frankfurt,12500000,27000,Right,3,RM,180,73,
1500,Y. Wissa,25,Congo DR,75,76,Brentford,6500000,44000,Right,3,LW,176,74,12800000
1501,A. Barboza,27,Argentina,75,78,Club Libertad,6500000,900,Left,2,LCB,193,92,14800000
1502,M. Boadu,21,Netherlands,75,83,AS Monaco,12500000,34000,Right,3,SUB,183,67,26300000
1503,M. Frey,27,Switzerland,75,75,Royal Antwerp FC,6000000,22000,Right,3,ST,188,92,9000000
1504,V. Nelsson,23,Denmark,75,81,Galatasaray SK,8000000,42000,Right,2,RCB,185,78,16800000
1505,Tiago Tomás,20,Portugal,75,82,VfB Stuttgart,11000000,11000,Right,3,RS,180,78,
1506,E. Choupo-Moting,33,Cameroon,75,75,FC Bayern München,3600000,50000,Right,3,SUB,191,90,5900000
1507,B. Johnson,21,Wales,75,85,Nottingham Forest,12500000,43000,Right,3,RS,181,71,27500000
1508,M. Gabbiadini,30,Italy,75,75,U.C. Sampdoria,5500000,21000,Left,3,RES,186,75,9900000
1509,T. Lamptey,21,England,75,83,Brighton & Hove Albion,12000000,35000,Right,2,SUB,163,62,25200000
1510,A. Gordon,21,England,75,84,Everton,12500000,26000,Right,3,RM,183,74,26300000
1511,K. Ajer,24,Norway,75,83,Brentford,11500000,33000,Right,3,RCB,196,94,24200000
1512,Carles Pérez,24,Spain,75,78,RC Celta de Vigo,7500000,47000,Left,4,SUB,173,75,
1513,D. Geiger,24,Germany,75,80,TSG Hoffenheim,8500000,27000,Right,3,RCM,173,67,15100000
1514,D. Solanke,24,England,75,79,AFC Bournemouth,8000000,40000,Right,3,ST,187,80,16600000
1515,K. Aktürkoğlu,23,Turkey,75,81,Galatasaray SK,9000000,46000,Right,4,LM,173,71,18900000
1516,M. Uzuni,27,Albania,75,75,Granada CF,6000000,12000,Right,4,LM,178,64,9600000
1517,N. Füllkrug,29,Germany,75,75,SV Werder Bremen,5500000,26000,Right,3,RS,189,83,9900000
1518,K. Sulemana,20,Ghana,75,85,Stade Rennais FC,12500000,32000,Right,4,SUB,174,69,26300000
1519,M. Okugawa,26,Japan,75,77,DSC Arminia Bielefeld,7000000,18000,Left,3,RCM,177,62,11700000
1520,K. Itakura,25,Japan,75,80,Borussia Mönchengladbach,7500000,22000,Right,3,RCB,188,74,13300000
1521,C. Goldson,29,England,75,76,Rangers FC,5000000,44000,Right,2,RCB,191,85,9400000
1522,Rochinha,27,Portugal,75,75,Sporting CP,6000000,14000,Right,4,SUB,169,63,12000000
1523,Samuel Lino,22,Brazil,75,83,Valencia CF,12500000,36000,Right,3,LM,178,66,
1524,Júnior Negão,35,Brazil,75,75,Changchun Yatai FC,2400000,10000,Right,3,ST,187,75,3700000
1525,Matheus,39,Brazil,75,75,Zhejiang Professional FC,1800000,8000,Left,4,RM,175,68,2800000
1526,D. Kyereh,26,Ghana,75,78,Sport-Club Freiburg,7500000,26000,Right,5,SUB,179,73,13300000
1527,J. Murillo,30,Colombia,75,75,U.C. Sampdoria,4600000,17000,Right,2,SUB,184,78,8300000
1528,Joshuando Sá,26,Brazil,75,75,Santos,5500000,23000,Left,2,LB,182,81,10500000
1529,P. Dawidowicz,27,Poland,75,78,Hellas Verona,6500000,23000,Right,2,LCB,189,80,11500000
1530,A. Iwobi,26,Nigeria,75,76,Everton,6500000,36000,Right,4,LCM,185,75,12800000
1531,I. Baba,26,Ghana,75,80,RCD Mallorca,7500000,22000,Right,2,RCM,185,73,17100000
1532,J. Pešek,29,Czech Republic,75,75,AC Sparta Praha,5500000,1000,Right,3,RM,173,66,12100000
1533,N. Redmond,28,England,75,75,Southampton,5500000,48000,Right,4,SUB,173,69,10500000
1534,K. Piątek,27,Poland,75,76,Hertha BSC,6500000,30000,Right,3,RES,183,77,11500000
1535,U. Antuna,24,Mexico,75,79,,0,0,Right,3,SUB,174,59,
1536,K. Akpoguma,27,Nigeria,75,77,TSG Hoffenheim,6000000,28000,Right,3,RES,192,85,10700000
1537,A. Cornelius,29,Denmark,75,75,Trabzonspor,5500000,36000,Left,2,ST,193,91,10500000
1538,W. Anton,25,Germany,75,78,VfB Stuttgart,6500000,20000,Right,3,CB,189,86,12200000
1539,M. Kempf,27,Germany,75,76,Hertha BSC,5500000,25000,Left,2,LCB,186,87,9800000
1540,A. Pinamonti,23,Italy,75,80,Inter,8500000,47000,Right,3,RES,188,72,14700000
1541,J. Doku,20,Belgium,75,85,Stade Rennais FC,12500000,32000,Right,4,SUB,171,60,26300000
1542,D. Cockburn,27,Jamaica,75,75,AFC Richmond,6000000,46000,Right,4,SUB,178,79,11400000
1543,L. Cabrera,31,Uruguay,75,75,RCD Espanyol de Barcelona,3800000,17000,Left,2,LCB,190,82,8000000
1544,Borja Bastón,29,Spain,75,75,Real Oviedo,5500000,12000,Right,3,RS,188,82,8800000
1545,J. Gradit,29,France,75,75,Racing Club de Lens,4700000,28000,Right,2,RCB,180,75,8900000
1546,Tiago Djaló,22,Portugal,75,82,LOSC Lille,10500000,23000,Right,2,SUB,190,82,22100000
1547,Toni Martínez,25,Spain,75,80,FC Porto,8500000,14000,Right,3,SUB,187,84,17600000
1548,A. Harit,25,Morocco,75,78,FC Schalke 04,7500000,22000,Right,5,RES,180,67,14100000
1549,C. Dessers,27,Nigeria,75,76,US Cremonese,6500000,14000,Right,3,ST,185,87,12200000
1550,G. Higuaín,34,Argentina,75,75,Inter Miami CF,2700000,10000,Right,3,ST,186,89,4100000
1551,S. Banza,25,France,75,78,SC Braga,7500000,15000,Right,3,LS,189,77,15600000
1552,A. Buksa,25,Poland,75,77,Racing Club de Lens,7000000,30000,Left,3,SUB,191,77,13800000
1553,R. Sottil,23,Italy,75,80,Fiorentina,8500000,42000,Right,4,SUB,180,75,15100000
1554,F. Ceccherini,30,Italy,75,75,Hellas Verona,4600000,23000,Right,2,RCB,187,75,7800000
1555,P. Beruatto,23,Italy,75,81,Pisa,8500000,5000,Left,2,LB,184,78,15300000
1556,Gabriel Strefezza,25,Brazil,75,78,Lecce,7500000,18000,Right,3,RW,168,65,14100000
1557,G. Rutter,20,France,75,84,TSG Hoffenheim,12500000,25000,Left,3,RS,182,83,23800000
1558,S. Bornauw,23,Belgium,75,81,VfL Wolfsburg,8000000,30000,Right,2,RCB,191,83,15200000
1559,B. Gomis,36,France,75,75,Galatasaray SK,1900000,44000,Right,3,SUB,184,86,3600000
1560,A. Broja,20,Albania,75,85,Chelsea,12500000,64000,Right,3,SUB,191,75,25600000
1561,K. Hause,26,England,75,77,Aston Villa,6000000,58000,Left,2,SUB,191,77,11900000
1562,M. Bayo,24,Guinea,75,80,LOSC Lille,8500000,28000,Right,3,ST,188,76,16800000
1563,Gabriel Veron,19,Brazil,75,87,FC Porto,13500000,7000,Right,4,SUB,176,75,29700000
1564,D. Spence,21,England,75,84,Tottenham Hotspur,12000000,44000,Right,3,SUB,184,71,25200000
1565,I. Ordets,29,Ukraine,75,75,VfL Bochum 1848,4700000,22000,Right,2,LCB,195,88,8500000
1566,Vallejo,25,Spain,75,79,Real Madrid CF,7000000,90000,Right,2,SUB,184,79,14900000
1567,L. Balerdi,23,Argentina,75,81,Olympique de Marseille,8000000,26000,Right,2,LCB,187,76,16800000
1568,V. Muriqi,28,Kosovo,75,75,RCD Mallorca,6000000,27000,Left,3,RS,194,86,13200000
1569,Jang Hyeon Soo,30,Korea Republic,75,75,Al Hilal,4600000,32000,Right,2,RCB,183,83,7800000
1570,O. Kossounou,21,Côte d'Ivoire,75,84,Bayer 04 Leverkusen,12000000,27000,Right,2,SUB,191,79,22800000
1571,J. Šutalo,22,Croatia,75,84,Dinamo Zagreb,12000000,800,Right,2,LCB,190,82,28800000
1572,N. Araújo,30,Mexico,75,75,,0,0,Right,2,SUB,188,87,
1573,B. Martins Indi,30,Netherlands,75,75,AZ Alkmaar,4600000,10000,Left,2,LCB,185,76,6900000
1574,B. Nuytinck,32,Netherlands,75,75,Udinese Calcio,3600000,15000,Left,2,CB,190,82,6100000
1575,Fábio Cardoso,28,Portugal,75,77,FC Porto,5500000,12000,Right,2,RCB,187,81,11400000
1576,F. Uduokhai,24,Germany,75,79,FC Augsburg,7000000,20000,Left,2,LCB,193,89,13100000
1577,J. Vestergaard,29,Denmark,75,75,Leicester City,4700000,60000,Right,2,SUB,199,96,8900000
1578,L. Giannetti,28,Argentina,75,77,Vélez Sarsfield,5500000,15000,Right,2,SUB,184,79,8700000
1579,P. Jansson,31,Sweden,75,75,Brentford,3800000,38000,Right,2,RCB,194,86,7200000
1580,K. Danso,23,Austria,75,80,Racing Club de Lens,7500000,23000,Right,2,CB,190,85,14800000
1581,A. Theate,22,Belgium,75,82,Stade Rennais FC,10500000,30000,Left,2,RCB,184,79,22100000
1582,T. Adarabioyo,24,England,75,83,Fulham,11500000,38000,Right,2,RCB,196,80,24200000
1583,N. Collins,21,Republic of Ireland,75,82,Wolverhampton Wanderers,10500000,41000,Right,2,RCB,193,81,22100000
1584,U. Babatunde,30,Nigeria,75,75,AFC Richmond,4600000,38000,Right,2,SUB,186,95,8700000
1585,A. Pieper,24,Germany,75,79,SV Werder Bremen,7000000,18000,Right,2,RCB,191,84,13100000
